,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, Harlandale High School, TEA:, San Antonio, Josue Solalinde / Juan Carlos Rodriguez,AAAAA,Non-Varsity ,2020,151057, , , , , , , , , , Gallant Marines (King/Swearingen), Blue and Green Music (Hazo), Seis Manuel from Islas y Montanas  (Hanson),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
1, 100-Concert Band, Harlandale High School, TEA:, San Antonio, Juan Carlos Rodriguez / Josue Solalinde,AAAAA,Varsity ,2020,151052, , , , , , , , , , The Glory of the Yankee Navy (Sousa/Fennell), A Movement for Rosa (Camphouse), Danzon No. 2 (Marquez/Nickel),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
2, 100-Concert Band, John F. Kennedy HS (Edgewood ISD), TEA:, San Antonio, Robert R Gamez,AAAAA,Varsity ,2020,157012, , , , , , , , , , Foundry  (MACKEY), Salvation is Created (Tschesnokoff / Houseknecht), Go Galop  (Philmore),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
3, 100-Concert Band, Legacy HS (Southwest ISD), TEA:, Von Ormy," Amanda Balarin / Martin Barrera, Diane Huseman",AAAAA,Varsity ,2020,159383, , , , , , , , , , Circus Days (Karl King; arr. Loras Schissel), Rest (18181)  (Ticheli), First Suite in Eb for Military Band (514)  (Holst/Matthews/Fennell),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
4, 100-Concert Band, McCollum High School (Harlandale ISD), TEA:, San Antonio," Gilbert Borrego / John Perez, Daniel Keller",AAAAA,Varsity ,2020,159576, , , , , , , , , , Entry March of the Boyars (Johan Halvorsen), Rippling Watercolors (Balmages)," Chester Overture for Band (Schuman, Billings)",DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
5, 100-Concert Band, Medina Valley HS, TEA:, Castroville, Thomas Galvez,AAAAA,Varsity ,2020,156573, , , , , , , , , , New Mexico March (Sousa/Fennell), On a Hymnsong of Philip Bliss (233)  (Holsinger), Pablo! (719)  (Meyer),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
6, 100-Concert Band, Memorial High School (Edgewood), TEA:, San Antonio, Steve Montalvo / Hector Garcia,AAAAA,Varsity ,2020,156143, , , , , , , , , , March Juno (Stewart), Air for Band (22)  (Erickson), Shepherd s Hey (355)  (Grainger/Rogers),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
7, 100-Concert Band, Somerset High School, TEA:, Somerset, Rush Gongora / Justin Mills,AAAAA,Varsity ,2020,156761, , , , , , , , , , An American Elegy  (Ticheli), Second Suite in F 1. March (Matthews), Grand Galop (Circus March) (Johnnie Vinson),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
8, 100-Concert Band, Southside High School, TEA:, San Antonio, Michael Misko / Solomon Ruppa,AAAAA,Varsity ,2020,155713, , , , , , , , , , Marche Diabolique (Balmages), Imaginarium (20603)  (Standridge), La Madre de los Gatos (17509)  (Beck),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
9, 100-Concert Band, Southwest High School, TEA:, San Antonio," Natalie Ball / Patrick Aguirre, Gabriel Perez", Acc:na,AAAAA,Varsity ,2020,158053, , , , , , , , , , Pas Redouble (Saint-Saens trans. Frackenpohl), Danzon No. 2 (17583)  (Marquez/Nickel), American Salute (16232)  (Gould/Lang),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai
10, 100-Concert Band, Veterans Memorial HS (Judson), TEA:, San Antonio, Jeremiah Brunney / Adam Apolinar,AAAAA,Varsity ,2020,152893, , , , , , , , , , First Suite in Eb for Military Band (17391) (play two mvts) (Holst/Fennell), Rippling Watercolors (19615)  (Balmages), The High School Cadet (John Phiilip Sousa),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
11, 100-Concert Band, Wagner (Judson ISD), TEA:, San Antonio Texas, Frank Foster / Steven Rosario and Jermey Chapman,AAAAA,Varsity ,2020,152955, , , , , , , , , , The Gallant Seventh (Sousa/Bourgeois), Incantation and Dance (333)  (Chance), Ride (15843)  (Hazo),DATE of EVENT 04/01/2020 ,Region: 11,1. alfonso Alvarado,2. Rudy Barrera,3. Ed Stein,1. Eric Donalson,2. Cindy Houston,3. Edward Pagluai,
