,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, A. Maceo Smith High School, TEA:, Dallas, Mario J. Scroggins,AAAA,Varsity ,2009,42795,3,4,3,3,4,3,4,4, , Block M (Jerry H. Bilik), Rhosymedre  (Vaughan Williams/Beeler), Toccata for Band  (Erickson),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
1, 100-Concert Band, Adamson High School, TEA:, Dallas, Gregory B Taylor Jr / James Jackson,AAAA,Varsity ,2009,44475,2,2,2,2,3,3,3,3, , Valley Forge March (Karl King/James Sweringen), Rhosymedre  (Vaughan Williams/Beeler), Overture for Winds  (Carter),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
2, 100-Concert Band, Bryan Adams High School, TEA:, Dallas, Dolores Perkins,AAAA,Varsity ,2009,50680,3,2,2,2,2,2,2,2, , Circus Days (King), Spiritual (from Symphony No. 5 1/2)  (Gillis/Bainum), English Country Settings  (La Plante),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
3, 100-Concert Band, Conrad High School, TEA:, Dallas, Randall Capshaw,AAAA,Non-Varsity ,2009,50892,4,3,3,3,2,1,3,2, , The Washington Post March (Sousa/Brion & Schissel), Chorale and Fugue in F Major (Chorale Only) (Bach/Daehn), Overture for Winds (Carter),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
4, 100-Concert Band, David W. Carter HS, TEA:, Dallas, Christopher Young,AAAA,Varsity ,2009,50681,3,3,2,3,3,3,3,3, , In The Shining Of The Stars  (Sheldon), Summer Dances  (Balmages), National Emblem March (Balmages/Gore),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
5, 100-Concert Band, Ennis High School, TEA:, Ennis, Gary Goodwin,AAAA,Varsity ,2009,50545,1,1,1,1,1,1,1,1,A, The B.B. and C.F. March (Hume), English Folk Song Suite  (Vaughan Williams), Finale (from Symphony No. 1 in g minor)  (Kalinnikov/Bainum),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
6, 100-Concert Band, Ennis High School, TEA:, Ennis, Stephen Shoop,AAAA,Non-Varsity ,2009,50537,1,2,1,1,1,1,1,1,C, Lincoln Centennial March (Sanford/Shoop), Ye Banks and Braes O' Bonnie Doon  (Grainger), Abracadabra  (Ticheli),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
7, 100-Concert Band, F.D.Roosevelt High School, TEA:, `dallas, william robertson / Lee C. Mitchell,AAA,Varsity ,2009,50557,4,4,3,4,4,4,4,4, , March IN Bb (Beethovev), Salvation is Created  (Tschesnokoff/Houseknecht), Angel Band (play one mvt) (Hartley),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
8, 100-Concert Band, Ferris High School, TEA:, Ferris, Jennifer Kofahl / Mark Hendrick,AAA,Varsity ,2009,50562,1,1,2,1,1,1,1,1,B, Los Banditos (Quincy Hilliard), Ginger Marmalade  (Benson), Our Kingsland Spring  (Hazo),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
9, 100-Concert Band, Highland Park High School, TEA:, Dallas, Chad Brooks,AAAA,Non-Varsity ,2009,50679,1,2,1,1,1,1,1,1,C, The March from  (Arnold/Sumner), In the Shining of the Stars (Sheldon), Chorale and Shaker Dance (Zdechlik),DATE of EVENT 04/21/2009 ,Region: 20,1. Jim Alexander,2. Fred Pankratz,3. Ralph Zamarippa,1. David Fortenberry,2. Bill Goodson,3. James Mallow,
