,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, Audie Murphy Middle School, TEA:, Georgetown, Annette Jackson,CC,Non-Varsity ,2018,131428,2,1,1,1,1,1,1,1,D, Fighting Falcon March (Todd Stalter), Soldiers' Procession and Sword Dance (Bob Margolis), Uskudar (Robert W. Smith and Micheal Story),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
1, 100-Concert Band, Bonham Middle School, TEA:, Temple, Karen Batson / Blake Waller,CC,Varsity ,2018,131859,1,1,2,1,1,1,1,1,C, Fort Canterbury March (Holsinger), Expectations  (Clark), Portsmouth Reflections  (Oare),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
2, 100-Concert Band, Charles Patterson Middle, TEA:, Killeen, Heather Zambrano / Arthur L. Bryan,CCC,Non-Varsity ,2018,131651,1,1,2,1,2,2,2,2,2, Skylight  (Hodges), Dorian Chant  (Calhoun), Synergy March (William Owens),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
3, 100-Concert Band, Charles Patterson Middle, TEA:, Killeen, Heather Zambrano / Arthur L. Bryan,CCC,Varsity ,2018,131647,2,3,3,3,3,3,3,3, , The Harmonious Blacksmith  (Handel/Osterling), Tanchozuru  (Standridge), American Patrol (F.W. Meacham arr. Ed Huckeby),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
4, 100-Concert Band, Copperas Cove Junior High, TEA:, Copperas Cove, Jolitha Dominguez,CC,Non-Varsity ,2018,130507,1,1,2,1,1,2,1,1,D, The Gladiator (Sousa/Story), Shepherd's Hey  (Traditional/Roszell), Fortis  (Gazlay),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
5, 100-Concert Band, Copperas Cove Junior High, TEA:, Copperas Cove, Ryan Stewart,CC,Varsity ,2018,130442,2,2,2,2,1,1,1,1,2, Citadel (Erickson), O Mio Babbino Caro  (Puccini/Vinson), Four Short Festive Dances (play all) (Eveland),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
6, 100-Concert Band, Eastern Hills Middle School, TEA:, Harker Heights, Amanda Stewart / Chris Lewis, Acc:n/a,CC,Non-Varsity ,2018,130394,3,3,2,3,1,2,2,2, , Nottingham Castle  (Daehn), Plaza de Toros  (Story), Castles and Kings - A Concert March (Bruce Pearson),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston
7, 100-Concert Band, Eastern Hills Middle School, TEA:, Harker Heights, Chris Lewis,CC,Varsity ,2018,130273,2,1,2,2,1,1,1,1,2, Newcastle March (Vinson)," Jeannette, Isabella  (Ryden)", A Sailor's Odyssey  (Bobrowitz),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
8, 100-Concert Band, Jarrell Middle School, TEA:, Jarrell, Stephen Grant / Scott Lanham,CC,Varsity ,2018,128703,1,1,2,1,1,2,1,1,C, March of the Scots Guard (Foster), Danza de Espana  (Chambers), Crusade  (Gassi),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
9, 100-Concert Band, Lamar Middle School, TEA:, Temple, John Batson,CC,Varsity ,2018,132736,1,1,1,1,2,1,1,1,C, Fighting Falcon March (Stalter), Allegretto from Symphony No. 7  (Beethoven/Longfield), Serengeti Dreams  (Smith),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
10, 100-Concert Band, Liberty Hill Middle School, TEA:, Killeen, Victoria Morris / Ralph Ortiz,CC,Non-Varsity ,2018,132533,3,3,3,3,3,2,3,3, , March Grandioso (Seitz/arr. Smith), Distant Horizons  (Sweeney), Dance Celebration  (Smith),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
11, 100-Concert Band, Liberty Hill Middle School, TEA:, Killeen, Victoria Morris / Ralph Ortiz,CC,Varsity ,2018,129277,1,2,2,2,2,1,2,2, , March of the Patriots (Edmondson), The Band in the Square on the Fourth of July  (La Plante), Catch The Wind  (Hannickel),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
12, 100-Concert Band, Manor Middle School, TEA:, Killeen, Aubry White,CC,Varsity ,2018,132271,2,2,2,2,2,2,2,2, , Union March (Mikel Rogers), Shepherd's Hey  (Traditional/Roszell), Night Fury  (Chambers),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
13, 100-Concert Band, Nolan Middle School, TEA:, Killeen, Johan Rodriguez,CC,Non-Varsity ,2018,132252,2,2,2,2,1,1,1,1,2, Australian Folk Fantasy (Mark Williams)," March from ""First Suite for Military Band"" (Holst Arr. Michael Story)", Sakura (Michael Story),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
14, 100-Concert Band, Palo Alto Middle School, TEA:, Killeen, Eric Skinner,CC,Non-Varsity ,2018,130117,3,2,2,2,3,3,3,3, , Acclaim (March) (Larry Clark), Plaza de Toros  (Story), Armory  (Standridge),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
15, 100-Concert Band, Rancier Middle School, TEA:, Killeen, Andrew Dietz,CC,Varsity ,2018,132650,2,2,2,2,1,1,1,1,2, Mad Dash (Loest), Tanchozuru (Standridge), Sparks  (Balmages),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
16, 100-Concert Band, Rancier Middle School, TEA:, Temple, Koln Wright,CC,Non-Varsity ,2018,132651,3,4,3,3,3,3,4,3, , Bunker Hill March (John Edmondson), Egyptique  (Owens), Night Fury  (Chambers),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
17, 100-Concert Band, S. C. Lee Junior High, TEA:, Copperas Cove, Adam Apolinar,CC,Sub Non-Varsity ,2018,129001,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA, , Nottingham Castle  (Daehn), Mystery Ride  (White), Gallant March (Sweeney),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
18, 100-Concert Band, S. C. Lee Junior High, TEA:, Copperas Cove, Lawrence Varela-Halbert,CC,Non-Varsity ,2018,129010,3,2,3,3,2,1,1,1,2, Colliding Visions (Balmages), Captain Dane March (Owens), Storm Mountain Jubilee (Strommen),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
19, 100-Concert Band, S. C. Lee Junior High, TEA:, Copperas Cove, Paul Fellows,CC,Varsity ,2018,128901,1,1,1,1,1,1,1,1,C, Into the Arctic  (Balmages), Fireball!  (Beck), Spirit of Liberty (Owens),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
20, 100-Concert Band, Smith Middle School, TEA:, Killeen, Alejandro A Gonzalez / Weston Scholten,CCC,Non-Varsity ,2018,132959,1,1,2,1,1,1,1,1,D, Darklands March (Standridge), Majestica (Gazlay), Japanese Pictures (Mixon),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
21, 100-Concert Band, Travis Middle School, TEA:, Temple, Marcos Duran,CC,Non-Varsity ,2018,131017,2,3,2,2,2,2,3,2, , Call To Duty (March) (Milford), Dorian Chant  (Calhoun), Night Fury  (Chambers),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
22, 100-Concert Band, Travis Middle School, TEA:, Temple, William Rachal,CC,Varsity ,2018,130992,1,1,2,1,2,1,2,2,2, Streets of Madrid (Moss), Shepherd's Hey (Traditional/Roszell), Tanchozuru (Standridge),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
23, 100-Concert Band, Union Grove Middle School, TEA:, HARKER HEIGHTS, Jason Maine / Amanda Stewart,CC,Non-Varsity ,2018,128876,1,1,1,1,1,1,1,1,D, Wedgwood March (Owens), Nottingham Castle (Larry Daehn), Exhortation (Gary Gazlay),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
24, 100-Concert Band, Union Grove Middle School, TEA:, HARKER HEIGHTS, Jason Maine / Amanda Stewart,CC,Sub Non-Varsity ,2018,128874,1,1,2,1,1,2,1,1,D, North Point March (Compello), Ming Court  (Pitter), Plaza de Toros  (Story),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
25, 100-Concert Band, Union Grove Middle School, TEA:, HARKER HEIGHTS, Jason Maine / Amanda Stewart,CC,Varsity ,2018,128851,1,1,1,1,1,1,1,1,C, New Forest March (Vinson), As Twilight Falls (Sheldon), La Madre de los Gatos  (Beck),DATE of EVENT 03/07/2018 ,Region: 8,1. Manuel San Luis,2. Tom Shine,3. Ferd Vollmer,1. Kevin Arnot,2. Rustin Honeycutt,3. John Roberston,
