,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0, 100-Concert Band, Boles ISD, TEA: 116916001, Quinlan, Rommel Cordova,AA,NVar-Composite ,2022,169795,1,2,1,1,1,1,2,1,C, Conviction (18460)  (Clark), The Oncoming Storm (22320)  (Rogers), FunFest March (Edmonson),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
1, 100-Concert Band, Caddo Mills High School, TEA: 116901001, Caddo Mills, Brian Miears,AAAA,Varsity ,2022,170600,1,1,1,1,1,1,1,1,A, The Chimes of Liberty (Goldman/Custer), Our Kingsland Spring (15850) (Hazo), Lightning Field (19613)  (Mackey),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
2, 100-Concert Band, Canton High School, TEA: 234902001, Canton, Madison Bennett,AAAA,Non-Varsity ,2022,170288,1,1,1,1,1,1,1,1,C, Three Ayres from Gloucester (282)  (Stuart), Heavens Light (15874)  (Reineke), Coast Guards (Karl L. King/James Swearingen),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
3, 100-Concert Band, Canton High School, TEA: 234902001, Canton, Mike Bartley,AAAA,Varsity ,2022,170180,1,1,1,1,1,1,1,1,A, Suite of Old American Dances (449) (play at least four mvts) (Bennett), Irish Tune from County Derry (352)  (Grainger/Rogers), Florentiner March (Fucik/Bourgeois),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
4, 100-Concert Band, Cayuga ISD, TEA: 001-902, Cayuga, Jennifer Joslin,AA,Var-Composite ,2022,170165,1,2,2,2,2,2,2,2, , Andalucia  (Victor Lopez), Alpine Meadow (Steve Hodges), Zig Zag (Sean O'loughlin),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
5, 100-Concert Band, Commerce High School, TEA: 116903001, Commerce," Sydney Cohen / Kara Wallace, Jason Wallace",AAA,Non-Varsity ,2022,169857,1,1,2,1,1,1,1,1,C, Colliding Visions (17502) (Balmages/), Summit Fanfare (17493) (Owens/), Thunder Bay March (O'Reilly),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
6, 100-Concert Band, Commerce High School, TEA: 14820, Commerce," Kara Wallace / Jason Wallace, Sydney Cohen & Joe Smith",AAA,Varsity ,2022,169267,1,1,1,1,1,1,1,1,A, Arsenal (Van Der Roost), Song for Hope (18212) (Sweeney/), Concord (358) (Grundman/),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
7, 100-Concert Band, Cross Roads HS, TEA: 107904001, Malakoff, Alex Montgomery / Jonathan Gonzalez,AA,Varsity ,2022,170559,1,1,1,1,1,1,2,1,B, The Capitol March (Stalter), Alpine Meadow (17477) (Hodges), Bazaar (20756)  (Standridge),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
8, 100-Concert Band, Edgewood High School, TEA: 234903001, Edgewood, Bennett Potter / Elyssa Smith,AAA,Varsity ,2022,168413,2,3,3,3,2,2,2,2, , Newcastle March (Johnnie Vinson), In The Bleak Midwinter (Bullock)," Moscow, 1941 (15892)  (Balmages)",DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
9, 100-Concert Band, Eustace High School, TEA: 107-905-001, Eustace," Todd Felty / Crystal Heidle, Sam Litton",AAA,Varsity ,2022,169309,1,1,1,1,1,1,1,1,A, Shadow Cove March (Standridge), Hawkeye Overture (22332)  (Sheldon), River of Dreams (668)  (Lopez),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
10, 100-Concert Band, Fruitvale HS, TEA: 234909, Fruitvale, Jason Chamberland,A,Non-Varsity ,2022,170904,2,3,3,3,2,1,2,2, , Spania (Spanish March) (Shaffer), Armory (19597)  (Standridge), Nottingham Castle (12)  (Daehn),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
11, 100-Concert Band, Grand Saline High School, TEA: 234904001, Grand Saline, Kyle White / Jenny Bartley,AAA,Varsity ,2022,170146,1,1,1,1,1,1,1,1,A, Freedom City (King), Where Words End... (22333)  (Standridge), La Madre de los Gatos (17509)  (Beck),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
12, 100-Concert Band, IL Texas HS, TEA: 057848003, Garland, David Castillo / Dallas Dillard,AAAA,Sub Non-Varsity ,2022,170278,2,1,2,2,1,1,2,1,2, El Relicario  (Michael Story ), Mystery Ride  (Terry White ), Big Sky Round-Up  (Robert Sheldon ),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
13, 100-Concert Band, Kemp ISD, TEA: 129904001, Kemp, Marc Christy,AAA,Varsity ,2022,169847,1,1,1,1,1,1,1,1,A, Patton (March) (Ralph Ford), Broken Bow (17500)  (Strommen), Tanchozuru (20595)  (Standridge),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
14, 100-Concert Band, Lone Oak High School, TEA: 116906001, Lone Oak, Jessica Parker,AAA,Var-Composite ,2022,168352,1,1,1,1,2,1,2,2,1, Flying Tigers (David Shaffer), Into The Artic (Brian Balmages), Heroes Triumphant (William Owens),DATE of EVENT 03/01/2022 ,Region: 3,1. Phil Alvarado,2. Mark Poole,3. Jerry Whorton,1. Bene Davis,2. Gary Monroe,3. Steven Moore
